country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
CAN,45.84027,-73.25335,304.85,0.68,0.74,2025-06-30,540,N20,VIIRS,n,2.0NRT,277.88,1.61,N
CAN,45.84038,-73.25175,301.95,0.68,0.74,2025-06-30,540,N20,VIIRS,n,2.0NRT,277.82,2.13,N
CAN,44.05424,-77.11793,300.75,0.44,0.38,2025-06-30,720,N20,VIIRS,n,2.0NRT,289.96,1.1,N
CAN,44.16656,-76.80099,302.78,0.45,0.39,2025-06-30,720,N20,VIIRS,n,2.0NRT,289.18,1.05,N
CAN,45.11308,-73.00822,296.63,0.4,0.44,2025-06-30,720,N20,VIIRS,n,2.0NRT,282.37,0.36,N
CAN,45.30526,-74.98959,303.69,0.49,0.41,2025-06-30,720,N20,VIIRS,n,2.0NRT,282.26,0.94,N
CAN,45.33949,-73.52045,295.13,0.56,0.43,2025-06-30,720,N20,VIIRS,n,2.0NRT,277.19,0.84,N
CAN,45.62072,-71.60466,295.64,0.45,0.47,2025-06-30,720,N20,VIIRS,n,2.0NRT,281.76,0.57,N
CAN,45.78076,-73.91159,302.03,0.53,0.42,2025-06-30,720,N20,VIIRS,n,2.0NRT,283.92,0.93,N
CAN,45.78282,-73.91004,301.17,0.53,0.42,2025-06-30,720,N20,VIIRS,n,2.0NRT,283.89,0.78,N
CAN,45.8369,-73.25254,319.88,0.56,0.43,2025-06-30,720,N20,VIIRS,n,2.0NRT,287.25,3.67,N
CAN,46.04559,-73.14331,311.01,0.56,0.43,2025-06-30,720,N20,VIIRS,n,2.0NRT,288.63,2.56,N
CAN,42.31411,-82.05159,311.97,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,291.06,0.43,N
CAN,42.80168,-80.09885,306.97,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,292.09,2,N
CAN,42.80247,-80.10355,328.09,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,292.3,2.84,N
CAN,42.80745,-80.09214,302.8,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,291.65,0.82,N
CAN,42.80824,-80.09683,307.13,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,292.28,0.82,N
CAN,42.80903,-80.10152,316.23,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,291.96,1.2,N
CAN,42.81152,-80.09581,303.43,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,291.42,0.82,N
CAN,42.8162,-81.32348,300.3,0.38,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,287.15,0.57,N
CAN,42.81807,-80.09377,318.04,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,291.84,2.24,N
CAN,42.87604,-81.2263,301.31,0.38,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,287.69,0.42,N
CAN,42.90242,-82.45066,303.86,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,292.07,0.72,N
CAN,42.93112,-82.44032,303.2,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,292.39,0.98,N
CAN,42.94483,-82.41691,313.64,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,290.34,0.94,N
CAN,42.95142,-82.41512,303.18,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,292.12,1.54,N
CAN,42.96558,-81.87099,298.25,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,284.01,0.43,N
CAN,42.96886,-81.87006,302.53,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,285.51,0.36,N
CAN,43.07057,-80.85857,319.91,0.38,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,290.68,1.53,N
CAN,43.26082,-79.80711,310.38,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,292.6,2.12,N
CAN,43.26411,-79.80608,329.65,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,295.04,2.12,N
CAN,43.2649,-79.81081,313.02,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,290.25,2.3,N
CAN,43.26624,-79.80335,306.16,0.39,0.36,2025-06-30,722,N20,VIIRS,n,2.0NRT,291.42,1.23,N
